INFO:root:Saved model at episode 700 to saved_models\dqn_model_episode_700.pth
INFO:root:Episode: 710, Average Reward: 1.70,Max Reward: 7.0 Average Loss: 0.19,exploration rate: 0.8920002942358835
INFO:root:Episode: 720, Average Reward: 0.60,Max Reward: 7.0 Average Loss: 0.12,exploration rate: 0.890746758831953
INFO:root:Episode: 730, Average Reward: 1.20,Max Reward: 7.0 Average Loss: 0.32,exploration rate: 0.889341270900185
INFO:root:Episode: 740, Average Reward: 2.50,Max Reward: 7.0 Average Loss: 0.27,exploration rate: 0.8875507108244955
INFO:root:Episode: 750, Average Reward: 1.90,Max Reward: 7.0 Average Loss: 0.22,exploration rate: 0.8858781565684349
INFO:root:Episode: 760, Average Reward: 1.20,Max Reward: 7.0 Average Loss: 0.16,exploration rate: 0.8844852445969014
INFO:root:Episode: 770, Average Reward: 1.20,Max Reward: 7.0 Average Loss: 0.17,exploration rate: 0.8830579968699468
INFO:root:Episode: 780, Average Reward: 2.30,Max Reward: 7.0 Average Loss: 0.46,exploration rate: 0.8813801376140353
INFO:root:Episode: 790, Average Reward: 1.10,Max Reward: 7.0 Average Loss: 0.30,exploration rate: 0.8800466794364449
INFO:root:Episode: 800, Average Reward: 1.20,Max Reward: 7.0 Average Loss: 0.20,exploration rate: 0.8786423010450564
INFO:root:Saved model at episode 800 to saved_models\dqn_model_episode_800.pth
INFO:root:Episode: 810, Average Reward: 1.70,Max Reward: 7.0 Average Loss: 0.21,exploration rate: 0.8770982290759105
INFO:root:Episode: 820, Average Reward: 1.00,Max Reward: 7.0 Average Loss: 0.17,exploration rate: 0.875804661267452
INFO:root:Episode: 830, Average Reward: 1.70,Max Reward: 7.0 Average Loss: 0.36,exploration rate: 0.8742638936313273
INFO:root:Episode: 840, Average Reward: 1.10,Max Reward: 7.0 Average Loss: 0.51,exploration rate: 0.8729271209273802
INFO:root:Episode: 850, Average Reward: 1.50,Max Reward: 7.0 Average Loss: 0.34,exploration rate: 0.8714522390869429
INFO:root:Episode: 860, Average Reward: 1.40,Max Reward: 7.0 Average Loss: 0.25,exploration rate: 0.870076425119443
INFO:root:Episode: 870, Average Reward: 1.10,Max Reward: 7.0 Average Loss: 0.24,exploration rate: 0.8686753919771336
INFO:root:Episode: 880, Average Reward: 1.90,Max Reward: 7.0 Average Loss: 0.25,exploration rate: 0.8670720722070306
INFO:root:Episode: 890, Average Reward: 1.40,Max Reward: 7.0 Average Loss: 0.66,exploration rate: 0.8656305658010075
INFO:root:Episode: 900, Average Reward: 1.60,Max Reward: 7.0 Average Loss: 0.46,exploration rate: 0.8640909016639189
INFO:root:Saved model at episode 900 to saved_models\dqn_model_episode_900.pth
INFO:root:Episode: 910, Average Reward: 1.40,Max Reward: 7.0 Average Loss: 0.38,exploration rate: 0.8626481337049714
INFO:root:Episode: 920, Average Reward: 2.20,Max Reward: 7.0 Average Loss: 0.38,exploration rate: 0.8610018305592593
INFO:root:Episode: 930, Average Reward: 1.60,Max Reward: 7.0 Average Loss: 0.36,exploration rate: 0.8595307157796916
INFO:root:Episode: 940, Average Reward: 2.50,Max Reward: 7.0 Average Loss: 0.79,exploration rate: 0.85779338044874
INFO:root:Episode: 950, Average Reward: 2.40,Max Reward: 7.0 Average Loss: 0.60,exploration rate: 0.8559821488922106
INFO:root:Episode: 960, Average Reward: 2.30,Max Reward: 7.0 Average Loss: 0.43,exploration rate: 0.8542793297965622
INFO:root:Episode: 970, Average Reward: 1.40,Max Reward: 7.0 Average Loss: 0.37,exploration rate: 0.8528257274196199
INFO:root:Episode: 980, Average Reward: 1.70,Max Reward: 7.0 Average Loss: 0.64,exploration rate: 0.8513456232882298
INFO:root:Episode: 990, Average Reward: 1.40,Max Reward: 7.0 Average Loss: 0.61,exploration rate: 0.8499329205954091
INFO:root:Episode: 1000, Average Reward: 1.60,Max Reward: 7.0 Average Loss: 0.54,exploration rate: 0.8484547616264033
INFO:root:Saved model at episode 1000 to saved_models\dqn_model_episode_1000.pth
INFO:root:Episode: 1010, Average Reward: 1.60,Max Reward: 7.0 Average Loss: 0.51,exploration rate: 0.8469966969163484
INFO:root:Episode: 1020, Average Reward: 1.60,Max Reward: 7.0 Average Loss: 0.51,exploration rate: 0.8455362538900906
INFO:root:Episode: 1030, Average Reward: 1.40,Max Reward: 7.0 Average Loss: 0.49,exploration rate: 0.8441441479597994
INFO:root:Episode: 1040, Average Reward: 1.50,Max Reward: 7.0 Average Loss: 0.63,exploration rate: 0.8427100775040257
INFO:root:Episode: 1050, Average Reward: 1.80,Max Reward: 7.0 Average Loss: 0.53,exploration rate: 0.8412357777818645
INFO:root:Episode: 1060, Average Reward: 1.70,Max Reward: 7.0 Average Loss: 0.45,exploration rate: 0.8397836387093476
INFO:root:Episode: 1070, Average Reward: 2.20,Max Reward: 7.0 Average Loss: 0.45,exploration rate: 0.8382250790941144
INFO:root:Episode: 1080, Average Reward: 1.90,Max Reward: 7.0 Average Loss: 0.53,exploration rate: 0.8367427369380696
INFO:root:Episode: 1090, Average Reward: 1.30,Max Reward: 7.0 Average Loss: 0.64,exploration rate: 0.8354097032677946
INFO:root:Episode: 1100, Average Reward: 1.40,Max Reward: 7.0 Average Loss: 0.52,exploration rate: 0.8340188895200468
INFO:root:Saved model at episode 1100 to saved_models\dqn_model_episode_1100.pth
INFO:root:Episode: 1110, Average Reward: 2.00,Max Reward: 7.0 Average Loss: 0.50,exploration rate: 0.8324710100059177
INFO:root:Episode: 1120, Average Reward: 1.00,Max Reward: 7.0 Average Loss: 0.40,exploration rate: 0.831215167573723
INFO:root:Episode: 1130, Average Reward: 2.10,Max Reward: 7.0 Average Loss: 0.49,exploration rate: 0.8296389066393629
INFO:root:Episode: 1140, Average Reward: 2.10,Max Reward: 7.0 Average Loss: 0.86,exploration rate: 0.8280616752252863
INFO:root:Episode: 1150, Average Reward: 1.60,Max Reward: 7.0 Average Loss: 0.55,exploration rate: 0.826647698159657
INFO:root:Episode: 1160, Average Reward: 1.80,Max Reward: 7.0 Average Loss: 0.49,exploration rate: 0.8251864276055172
INFO:root:Episode: 1170, Average Reward: 1.90,Max Reward: 7.0 Average Loss: 0.47,exploration rate: 0.8237230295513929
INFO:root:Episode: 1180, Average Reward: 2.30,Max Reward: 7.0 Average Loss: 0.69,exploration rate: 0.8220899844465456
INFO:root:Episode: 1190, Average Reward: 1.20,Max Reward: 7.0 Average Loss: 0.61,exploration rate: 0.8208360820104271
INFO:root:Episode: 1200, Average Reward: 2.50,Max Reward: 7.0 Average Loss: 0.63,exploration rate: 0.8192066743270041
INFO:root:Saved model at episode 1200 to saved_models\dqn_model_episode_1200.pth
INFO:root:Episode: 1210, Average Reward: 2.50,Max Reward: 7.0 Average Loss: 0.67,exploration rate: 0.8175816674053864
INFO:root:Episode: 1220, Average Reward: 1.80,Max Reward: 7.0 Average Loss: 0.55,exploration rate: 0.816114280115487
INFO:root:Episode: 1230, Average Reward: 1.60,Max Reward: 7.0 Average Loss: 0.71,exploration rate: 0.8147263651249003
INFO:root:Episode: 1240, Average Reward: 1.40,Max Reward: 7.0 Average Loss: 0.71,exploration rate: 0.813394642671133
INFO:root:Episode: 1250, Average Reward: 1.60,Max Reward: 7.0 Average Loss: 0.65,exploration rate: 0.8120219669004413
INFO:root:Episode: 1260, Average Reward: 1.80,Max Reward: 7.0 Average Loss: 0.65,exploration rate: 0.8105275791520237
INFO:root:Episode: 1270, Average Reward: 2.70,Max Reward: 7.0 Average Loss: 0.74,exploration rate: 0.8087598575636655
INFO:root:Episode: 1280, Average Reward: 1.90,Max Reward: 7.0 Average Loss: 0.84,exploration rate: 0.8072942420938546
INFO:root:Episode: 1290, Average Reward: 1.30,Max Reward: 7.0 Average Loss: 0.70,exploration rate: 0.8059721317867754
INFO:root:Episode: 1300, Average Reward: 2.00,Max Reward: 7.0 Average Loss: 0.74,exploration rate: 0.8045003043339038
INFO:root:Saved model at episode 1300 to saved_models\dqn_model_episode_1300.pth
INFO:root:Episode: 1310, Average Reward: 2.00,Max Reward: 7.0 Average Loss: 0.73,exploration rate: 0.8029879587772173
INFO:root:Episode: 1320, Average Reward: 2.90,Max Reward: 8.0 Average Loss: 0.82,exploration rate: 0.8012460074356583
INFO:root:Episode: 1330, Average Reward: 1.70,Max Reward: 8.0 Average Loss: 1.00,exploration rate: 0.7998631131826657
INFO:root:Episode: 1340, Average Reward: 2.40,Max Reward: 8.0 Average Loss: 0.91,exploration rate: 0.7982371233406768
INFO:root:Episode: 1350, Average Reward: 1.00,Max Reward: 8.0 Average Loss: 0.61,exploration rate: 0.7970232471246328
INFO:root:Episode: 1360, Average Reward: 2.50,Max Reward: 8.0 Average Loss: 0.80,exploration rate: 0.7954142862708785
INFO:root:Episode: 1370, Average Reward: 1.20,Max Reward: 8.0 Average Loss: 0.63,exploration rate: 0.7941643606151098
INFO:root:Episode: 1380, Average Reward: 1.90,Max Reward: 8.0 Average Loss: 0.90,exploration rate: 0.792717150283772
INFO:root:Episode: 1390, Average Reward: 2.90,Max Reward: 8.0 Average Loss: 0.95,exploration rate: 0.7909992672340274
INFO:root:Episode: 1400, Average Reward: 2.50,Max Reward: 8.0 Average Loss: 0.87,exploration rate: 0.7893456148563924
INFO:root:Saved model at episode 1400 to saved_models\dqn_model_episode_1400.pth
INFO:root:Episode: 1410, Average Reward: 3.10,Max Reward: 8.0 Average Loss: 0.90,exploration rate: 0.7875150796415905
INFO:root:Episode: 1420, Average Reward: 2.10,Max Reward: 8.0 Average Loss: 0.91,exploration rate: 0.7859918610688017
INFO:root:Episode: 1430, Average Reward: 3.10,Max Reward: 8.0 Average Loss: 0.88,exploration rate: 0.7842543897539411
INFO:root:Episode: 1440, Average Reward: 3.40,Max Reward: 8.0 Average Loss: 0.91,exploration rate: 0.782413489234326
INFO:root:Episode: 1450, Average Reward: 2.50,Max Reward: 8.0 Average Loss: 0.78,exploration rate: 0.7807851492351291
INFO:root:Episode: 1460, Average Reward: 1.80,Max Reward: 8.0 Average Loss: 0.99,exploration rate: 0.7794086335968198
INFO:root:Episode: 1470, Average Reward: 2.40,Max Reward: 8.0 Average Loss: 0.86,exploration rate: 0.7779067647215143
INFO:root:Episode: 1480, Average Reward: 3.50,Max Reward: 8.0 Average Loss: 0.96,exploration rate: 0.7760728005219651
INFO:root:Episode: 1490, Average Reward: 2.80,Max Reward: 8.0 Average Loss: 0.82,exploration rate: 0.7744272170649579
INFO:root:Episode: 1500, Average Reward: 2.20,Max Reward: 8.0 Average Loss: 0.91,exploration rate: 0.7729753913162866
INFO:root:Saved model at episode 1500 to saved_models\dqn_model_episode_1500.pth
INFO:root:Episode: 1510, Average Reward: 3.00,Max Reward: 8.0 Average Loss: 0.86,exploration rate: 0.7713178785545018
INFO:root:Episode: 1520, Average Reward: 2.00,Max Reward: 8.0 Average Loss: 0.69,exploration rate: 0.7699517958634723
INFO:root:Episode: 1530, Average Reward: 2.20,Max Reward: 8.0 Average Loss: 0.68,exploration rate: 0.7685102727729057
INFO:root:Episode: 1540, Average Reward: 2.70,Max Reward: 8.0 Average Loss: 0.75,exploration rate: 0.76690910570539
INFO:root:Episode: 1550, Average Reward: 2.70,Max Reward: 8.0 Average Loss: 1.12,exploration rate: 0.7652532287764325
INFO:root:Episode: 1560, Average Reward: 3.60,Max Reward: 8.0 Average Loss: 0.80,exploration rate: 0.7634561504368188
INFO:root:Episode: 1570, Average Reward: 4.30,Max Reward: 8.0 Average Loss: 0.84,exploration rate: 0.7614694260239658
INFO:root:Episode: 1580, Average Reward: 2.60,Max Reward: 8.0 Average Loss: 1.15,exploration rate: 0.7598699454959857
INFO:root:Episode: 1590, Average Reward: 2.80,Max Reward: 8.0 Average Loss: 3.22,exploration rate: 0.7582848651002558
INFO:root:Episode: 1600, Average Reward: 2.80,Max Reward: 8.0 Average Loss: 2.92,exploration rate: 0.7567259205441932
INFO:root:Saved model at episode 1600 to saved_models\dqn_model_episode_1600.pth
INFO:root:Episode: 1610, Average Reward: 2.50,Max Reward: 8.0 Average Loss: 2.81,exploration rate: 0.7552368434464858
INFO:root:Episode: 1620, Average Reward: 2.20,Max Reward: 8.0 Average Loss: 2.66,exploration rate: 0.7538086753521169
INFO:root:Episode: 1630, Average Reward: 2.20,Max Reward: 8.0 Average Loss: 2.41,exploration rate: 0.7523770963195766
INFO:root:Episode: 1640, Average Reward: 2.70,Max Reward: 8.0 Average Loss: 2.16,exploration rate: 0.7508646849114098
INFO:root:Episode: 1650, Average Reward: 4.20,Max Reward: 9.0 Average Loss: 2.65,exploration rate: 0.7489954872722127
INFO:root:Episode: 1660, Average Reward: 1.90,Max Reward: 9.0 Average Loss: 1.86,exploration rate: 0.7476728859901631
INFO:root:Episode: 1670, Average Reward: 3.60,Max Reward: 9.0 Average Loss: 2.03,exploration rate: 0.7460046896809664
INFO:root:Episode: 1680, Average Reward: 3.40,Max Reward: 9.0 Average Loss: 1.74,exploration rate: 0.7442666951767073
INFO:root:Episode: 1690, Average Reward: 3.60,Max Reward: 9.0 Average Loss: 1.80,exploration rate: 0.7424961106733182
INFO:root:Episode: 1700, Average Reward: 2.20,Max Reward: 9.0 Average Loss: 1.39,exploration rate: 0.7411213568911895
INFO:root:Saved model at episode 1700 to saved_models\dqn_model_episode_1700.pth
INFO:root:Episode: 1710, Average Reward: 3.40,Max Reward: 9.0 Average Loss: 1.61,exploration rate: 0.7394796273288268
INFO:root:Episode: 1720, Average Reward: 2.80,Max Reward: 9.0 Average Loss: 1.33,exploration rate: 0.7379709588879153
INFO:root:Episode: 1730, Average Reward: 2.60,Max Reward: 9.0 Average Loss: 1.32,exploration rate: 0.7364855804638754
INFO:root:Episode: 1740, Average Reward: 2.80,Max Reward: 9.0 Average Loss: 1.41,exploration rate: 0.7349706410927962
INFO:root:Episode: 1750, Average Reward: 3.00,Max Reward: 9.0 Average Loss: 1.47,exploration rate: 0.7333801300594726
INFO:root:Episode: 1760, Average Reward: 2.20,Max Reward: 9.0 Average Loss: 1.21,exploration rate: 0.7319515711757445
INFO:root:Episode: 1770, Average Reward: 3.70,Max Reward: 9.0 Average Loss: 1.47,exploration rate: 0.7302205032610409
INFO:root:Episode: 1780, Average Reward: 2.90,Max Reward: 9.0 Average Loss: 1.38,exploration rate: 0.7287412239123888
INFO:root:Episode: 1790, Average Reward: 2.70,Max Reward: 9.0 Average Loss: 1.40,exploration rate: 0.7272371904800848
INFO:root:Episode: 1800, Average Reward: 2.20,Max Reward: 9.0 Average Loss: 1.23,exploration rate: 0.7258537786122484
INFO:root:Saved model at episode 1800 to saved_models\dqn_model_episode_1800.pth
INFO:root:Episode: 1810, Average Reward: 4.20,Max Reward: 9.0 Average Loss: 1.64,exploration rate: 0.7240058624793858
INFO:root:Episode: 1820, Average Reward: 3.50,Max Reward: 9.0 Average Loss: 1.43,exploration rate: 0.7223905336543738
INFO:root:Episode: 1830, Average Reward: 4.00,Max Reward: 9.0 Average Loss: 1.80,exploration rate: 0.7205354679743637
INFO:root:Episode: 1840, Average Reward: 3.00,Max Reward: 9.0 Average Loss: 1.52,exploration rate: 0.7190015417079033
INFO:root:Episode: 1850, Average Reward: 3.50,Max Reward: 9.0 Average Loss: 1.63,exploration rate: 0.7172892800146518
INFO:root:Episode: 1860, Average Reward: 3.60,Max Reward: 9.0 Average Loss: 1.56,exploration rate: 0.715608225307912
INFO:root:Episode: 1870, Average Reward: 2.90,Max Reward: 9.0 Average Loss: 1.38,exploration rate: 0.714114113401595
INFO:root:Episode: 1880, Average Reward: 3.20,Max Reward: 9.0 Average Loss: 1.46,exploration rate: 0.7125127529373385
INFO:root:Episode: 1890, Average Reward: 3.60,Max Reward: 9.0 Average Loss: 1.50,exploration rate: 0.7108257701833002
INFO:root:Episode: 1900, Average Reward: 2.50,Max Reward: 9.0 Average Loss: 1.21,exploration rate: 0.7094517382894605
INFO:root:Saved model at episode 1900 to saved_models\dqn_model_episode_1900.pth
INFO:root:Episode: 1910, Average Reward: 3.20,Max Reward: 11.0 Average Loss: 1.33,exploration rate: 0.7078959687668469
INFO:root:Episode: 1920, Average Reward: 3.00,Max Reward: 11.0 Average Loss: 1.22,exploration rate: 0.7063750950547036
INFO:root:Episode: 1930, Average Reward: 3.60,Max Reward: 11.0 Average Loss: 1.36,exploration rate: 0.7047515807182827
INFO:root:Episode: 1940, Average Reward: 2.90,Max Reward: 11.0 Average Loss: 1.21,exploration rate: 0.7033091568830437
INFO:root:Episode: 1950, Average Reward: 3.90,Max Reward: 11.0 Average Loss: 1.33,exploration rate: 0.7016451160899325
INFO:root:Episode: 1960, Average Reward: 3.10,Max Reward: 11.0 Average Loss: 1.18,exploration rate: 0.700154884852557
INFO:root:Episode: 1970, Average Reward: 3.10,Max Reward: 11.0 Average Loss: 1.13,exploration rate: 0.6986851077580118
INFO:root:Episode: 1980, Average Reward: 2.60,Max Reward: 11.0 Average Loss: 1.19,exploration rate: 0.6972900034236016
INFO:root:Episode: 1990, Average Reward: 2.70,Max Reward: 11.0 Average Loss: 1.17,exploration rate: 0.6958445216536637
INFO:root:Episode: 2000, Average Reward: 2.80,Max Reward: 11.0 Average Loss: 1.17,exploration rate: 0.6943086298642496
INFO:root:Saved model at episode 2000 to saved_models\dqn_model_episode_2000.pth
INFO:root:Episode: 2010, Average Reward: 4.40,Max Reward: 11.0 Average Loss: 1.46,exploration rate: 0.692453129365637
INFO:root:Episode: 2020, Average Reward: 3.80,Max Reward: 11.0 Average Loss: 1.27,exploration rate: 0.6907463652784279
